,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
0,600519.SH,2025-07-14,1430.0032470513288,1434.983258359242,1421.6032279777405,1423.603232519071,1427.0,-3.4,-0.2383,27780.94,3961736.006,1423.6,1430.0,1434.98,1421.6,forward_adjusted
1,600519.SH,2025-07-15,1420.9829409633771,1422.9329449992388,1408.322914761322,1411.0029203080446,1423.6,-12.6,-0.8851,35405.78,5005150.165,1411.0,1420.98,1422.93,1408.32,forward_adjusted
2,600519.SH,2025-07-16,1410.0125495250468,1417.492563050091,1409.9525494165573,1411.032551369371,1411.0,0.03,0.0021,21286.05,3006882.579,1411.03,1410.01,1417.49,1409.95,forward_adjusted
3,600519.SH,2025-07-17,1413.9821405002986,1423.0121541700237,1412.8821388351053,1416.3521440880336,1411.03,5.32,0.377,23105.54,3273100.406,1416.35,1413.98,1423.01,1412.88,forward_adjusted
4,600519.SH,2025-07-18,1420.002528083054,1437.8125597909125,1416.3825216382227,1437.002558348837,1416.35,20.65,1.458,41823.41,5984949.774,1437.0,1420.0,1437.81,1416.38,forward_adjusted
5,600519.SH,2025-07-21,1436.9920355166937,1446.8020494126974,1435.0020326978304,1443.0020440299436,1437.0,6.0,0.4175,26203.31,3779891.829,1443.0,1436.99,1446.8,1435.0,forward_adjusted
6,600519.SH,2025-07-22,1444.0018246540524,1466.601853211657,1440.6818204588644,1464.9818511646076,1443.0,21.98,1.5232,42118.98,6127636.851,1464.98,1444.0,1466.6,1440.68,forward_adjusted
7,600519.SH,2025-07-23,1469.001877530165,1495.0019107607875,1468.95187746626,1475.5018858378207,1464.98,10.52,0.7181,45044.84,6676301.462,1475.5,1469.0,1495.0,1468.95,forward_adjusted
8,600519.SH,2025-07-24,1476.0022051309827,1499.00223949278,1475.0022036369917,1491.5022282878463,1475.5,16.0,1.0844,38803.64,5786337.377,1491.5,1476.0,1499.0,1475.0,forward_adjusted
9,600519.SH,2025-07-25,1491.4022404386715,1491.4022404386715,1453.0021827527087,1455.002185757186,1491.5,-36.5,-2.4472,41911.26,6140078.741,1455.0,1491.4,1491.4,1453.0,forward_adjusted
10,600519.SH,2025-07-28,1453.0025362419028,1454.9925397154896,1436.3025070917035,1438.6625112111328,1455.0,-16.34,-1.123,38586.32,5560966.386,1438.66,1453.0,1454.99,1436.3,forward_adjusted
11,600519.SH,2025-07-29,1439.6020364125193,1448.7920494124019,1435.0120299196508,1439.0020355637785,1438.66,0.34,0.0236,26304.08,3785848.102,1439.0,1439.6,1448.79,1435.01,forward_adjusted
12,600519.SH,2025-07-30,1444.0019878429669,1457.16200595932,1437.001978206609,1449.4419953317938,1439.0,10.44,0.7255,31867.71,4612883.04,1449.44,1444.0,1457.16,1437.0,forward_adjusted
13,600519.SH,2025-07-31,1443.0021681928179,1444.8721710026034,1418.0021306288397,1421.672136143232,1449.44,-27.77,-1.9159,51797.51,7386302.758,1421.67,1443.0,1444.87,1418.0,forward_adjusted
14,600519.SH,2025-08-01,1421.871949854383,1425.961955463127,1414.0019390620084,1417.0019431760013,1421.67,-4.67,-0.3285,29635.59,4200850.79,1417.0,1421.87,1425.96,1414.0,forward_adjusted
15,600519.SH,2025-08-04,1415.0013291604787,1419.8013336692916,1414.0013282211428,1419.0013329178228,1417.0,2.0,0.1411,18687.95,2647105.74,1419.0,1415.0,1419.8,1414.0,forward_adjusted
16,600519.SH,2025-08-05,1421.0009575853037,1429.9409636098026,1417.1109549639054,1427.7409621272636,1419.0,8.74,0.6159,25342.27,3607931.488,1427.74,1421.0,1429.94,1417.11,forward_adjusted
17,600519.SH,2025-08-06,1429.0003518262386,1429.0003518262386,1419.3003494380548,1423.8803505656715,1427.74,-3.86,-0.2704,23699.28,3372334.94,1423.88,1429.0,1429.0,1419.3,forward_adjusted
18,600519.SH,2025-08-07,1423.8796788437219,1427.6996779821204,1420.0596797053229,1422.3496791888133,1423.88,-1.53,-0.1075,28001.34,3988765.795,1422.35,1423.88,1427.7,1420.06,forward_adjusted
19,600519.SH,2025-08-08,1423.05,1426.5,1418.0,1420.97,1422.35,-1.38,-0.097,18655.28,2651478.118,1420.97,1423.05,1426.5,1418.0,forward_adjusted
